,old_data,new_data
231,21600.0,24575.259258836973
232,22597.0,18890.167736876523
233,25888.0,24456.911485321587
234,29000.0,22615.98278000881
235,21245.0,24320.760765955318
236,19600.0,22855.38118197932
237,17090.0,27863.34720851062
238,20649.0,24336.318253925536
239,23799.0,24125.798709416762
240,24822.0,24020.272070541047
241,20991.0,23269.970474723494
242,27700.0,27312.759599296376
243,19891.0,23975.41192758293
244,29500.0,25712.73722159979
245,21990.0,17876.318173138425
246,21000.0,24224.546924915165
247,17990.0,16867.632416455308
248,10999.0,12454.636346565327
249,18400.0,21384.398752953624
250,21853.0,23343.190090059303
251,26500.0,24886.05467758677
252,24188.0,20471.6726403723
253,20998.0,20162.65049086162
254,26895.0,28713.809274685336
255,18995.0,22766.058796116617
256,9999.0,14454.866399077931
257,28495.0,24455.949924716726
258,27797.0,20995.259614668088
259,20253.0,19625.997192220064
260,23895.0,23098.251772227464
261,13990.0,12957.888296338497
262,25075.0,25587.46213907143
263,19490.0,20391.000621160958
264,12995.0,18858.82489033183
265,13255.0,17629.418609667337
266,8235.0,13067.487909980118
267,22995.0,23657.82905863342
268,26514.0,25200.03191922605
269,15988.0,15461.411817096174
270,27616.0,26201.496481220936
271,13995.0,17752.97691652598
272,29374.0,27964.995140292915
273,22998.0,18590.84478304372
274,19999.0,17758.972859895322
275,3999.0,12308.280645834748
276,22777.0,25869.90132820676
277,28295.0,24763.82010017475
278,27999.0,18220.33314055181
279,8200.0,17571.669790213695
280,22294.0,22337.67633632454
281,22980.0,24161.88466330082
282,21996.0,24353.133994424017
283,27898.0,23005.764180824626
284,27900.0,25698.040467150277
285,21992.0,24844.799236972583
286,25176.0,25554.671287976205
287,26500.0,26040.597647265997
288,26860.0,23233.16844137595
289,17590.0,23355.584116588812
290,11500.0,9104.516917515313
291,4400.0,8119.537032487802
292,24942.0,24140.27447276935
293,24988.0,21660.569593035383
294,21846.0,21549.66824215534
295,22149.0,24390.97662506695
296,15495.0,20684.597143310355
297,19000.0,23529.424131103093
298,16995.0,16325.54976209905
299,19990.0,23056.336059015943
300,13395.0,15762.625202126568
301,17998.0,18633.600598082878
302,29998.0,22438.862603774294
303,26998.0,21932.510918386513
304,28359.0,25943.666433922015
305,25896.0,23707.593046240974
306,17997.0,20190.147649397608
307,22999.0,18350.07238223357
308,26500.0,18588.905508250697
309,29989.0,22886.538335621357
310,29410.0,23950.72748502274
311,19927.0,21594.577963309595
312,24728.0,22458.42981292028
313,28884.0,25825.04702973808
314,25986.0,28783.62052758527
315,29870.0,21659.60893845791
316,26310.0,22798.64789395919
317,26600.0,24511.908292098902
318,16590.0,18947.076314484235
319,21749.0,24922.98325732164
320,22930.0,20242.476943150396
321,28907.0,23998.939557272708
322,20750.0,21215.131276244065
323,19999.0,24992.218352148775
324,26888.0,23421.293471040204
325,22200.0,24644.946249570698
326,25860.0,25217.34813401429
327,9985.0,16886.68723625131
328,10995.0,15091.344154808903
329,10497.0,17848.30797576788
330,14997.0,21057.558567341184
331,10999.0,16141.312408168102
332,23976.0,24005.480312676635
333,9900.0,9637.711813759059
334,22996.0,25017.082902213326
335,20490.0,17899.487109014764
336,9999.0,8772.639320254093
337,13250.0,13758.773653052747
338,15900.0,15869.113355026348
339,22746.0,23758.981775682885
340,28892.0,27785.000661137747
341,29852.0,23508.02546698274
